1,1:05.8,,Zoltán Halmay, Hungary,3 Dec 1905,–,Vienna, Austria,[3]
2,1:05.6,,Charles Daniels, United States,20 Jul 1908,Olympic Games,London, United Kingdom,[4]
3,1:02.8,(tt),Charles Daniels, United States,15 Apr 1910,Special record attempt by the New York AC,New York City, United States,[5]
4,1:02.4,,Kurt Bretting, Germany,6 Apr 1912,–,Brussels, Belgium,[6]
5,1:01.6,,Duke Kahanamoku, United States,20 Jul 1912,–,Hamburg, Germany,
6,1:01.4,,Duke Kahanamoku, United States,9 Aug 1918,International exhibition,New York City, United States,[7]
7,1:00.4,,Duke Kahanamoku, United States,24 Aug 1920,Olympic Games,Antwerp, Belgium,
8,58.6,,Johnny Weissmuller, United States,19 Jul 1922,–,Alameda, California, United States,
9,57.4,,Johnny Weissmuller, United States,17 Feb 1924,–,Miami, United States,
10,56.8,,Peter Fick, United States,2 Mar 1934,Yale University Swimming Carnival,New Haven, United States,[8]
11,56.6,(tt),Peter Fick, United States,5 Mar 1935,Yale University Swimming Carnival,New Haven, United States,[9]
12,56.4,,Peter Fick, United States,11 Feb 1936,Yale Benefit Event for the United States Olympic team,New Haven, United States,[10]
13,55.9,(tt),Alan Ford, United States,13 Apr 1944,Special record attempt,New Haven, United States,[11]
14,55.8,,Alex Jany, France,15 Sep 1947,–,Menton, France,
15,55.4,(tt),Alan Ford, United States,29 Jun 1948,New Haven Swim Club team time trial,New Haven, United States,[12]
16,54.8,(tt),Dick Cleveland, United States,1 Apr 1954,AAU Championships,New Haven, United States,[13]
17,55.4,,Jon Henricks, Australia,30 Nov 1956,Olympic Games,Melbourne, Australia,[14]
18,55.2,,John Devitt, Australia,19 Jan 1957,New South Wales State Championships,Sydney, Australia,[15]
19,54.6,,John Devitt, Australia,28 Jan 1957,Queensland State Championships,Brisbane, Australia,[16]
20,54.4,,Steve Clark, United States,18 Aug 1961,Men's NAAA Championships,Los Angeles, United States,[17]
21,53.6,(tt),Manuel dos Santos, Brazil,20 Sep 1961,Special record attempt by the CR Guanabara,Rio de Janeiro, Brazil,
22,52.9,,Alain Gottvallès, France,13 Sep 1964,–,Budapest, Hungary,
22=,52.9,(r),Steve Clark, United States,14 Oct 1964,Olympic Games,Tokyo, Japan,[18]
23,52.6,(r),Ken Walsh, United States,27 Jul 1967,Pan American Games,Winnipeg, Canada,[19]
23=,52.6,,Zac Zorn, United States,2 Sep 1968,USA Olympic Trials (elec. 52.58),Los Angeles, United States,[20]
24,52.2,,Michael Wenden, Australia,19 Oct 1968,Olympic Games,Mexico City, Mexico,[21]
25,51.94,(h),Mark Spitz, United States,23 Aug 1970,AAU Championships,Los Angeles, United States,[22]
26,51.47,(h),Mark Spitz, United States,5 Aug 1972,USA Olympic Trials,Chicago, United States,[23]
27,51.22,,Mark Spitz, United States,3 Sep 1972,Olympic Games,Munich, West Germany,[24]
28,51.12,(h),Jim Montgomery, United States,21 Jun 1975,AAU World Championship Trials,Long Beach, United States,[25]
29,51.11,,Andy Coan, United States,3 Aug 1975,An Amateur Athletic Union Region Four meet,Fort Lauderdale, United States,[26]
30,50.59,(sf),Jim Montgomery, United States,23 Aug 1975,AAU Championships,Kansas City, United States,[27]
31,50.39,(sf),Jim Montgomery, United States,24 Jul 1976,Olympic Games,Montreal, Canada,[28]
32,49.99,,Jim Montgomery, United States,25 Jul 1976,Olympic Games,Montreal, Canada,[29]
33,49.44,,Jonty Skinner, South Africa,14 Aug 1976,AAU Championships,Philadelphia, United States,[30]
34,49.36,(tt),Rowdy Gaines, United States,3 Apr 1981,Longhorn Invitational,Austin, United States,
35,49.24,(h),Matt Biondi, United States,6 Aug 1985,USA Summer Nationals,Mission Viejo, United States,[31]
36,48.95,,Matt Biondi, United States,6 Aug 1985,USA Summer Nationals,Mission Viejo, United States,[32]
37,48.74,,Matt Biondi, United States,24 Jun 1986,USA World Championships Trials,Orlando, United States,[33]
38,48.42,,Matt Biondi, United States,10 Aug 1988,USA Olympic Trials,Austin, United States,
39,48.21,,Alexander Popov, Russia,18 Jun 1994,International Swimming Meeting of Monte Carlo,Monte-Carlo, Monaco,
40,48.18,(r),Michael Klim, Australia,16 Sep 2000,Olympic Games,Sydney, Australia,[34]
41,47.84,(sf),Pieter van den Hoogenband, Netherlands,19 Sep 2000,Olympic Games,Sydney, Australia,[35]
42,47.60,(sf),Alain Bernard, France,21 Mar 2008,European Championships,Eindhoven, Netherlands,[36]
43,47.50,,Alain Bernard, France,22 Mar 2008,European Championships,Eindhoven, Netherlands,[37]
44,47.24,(r),Eamon Sullivan, Australia,11 Aug 2008,Olympic Games,Beijing, China,[38]
45,47.20,(sf),Alain Bernard, France,13 Aug 2008,Olympic Games,Beijing, China,[39]
46,47.05,(sf),Eamon Sullivan, Australia,13 Aug 2008,Olympic Games,Beijing, China,
47,46.94,,Alain Bernard, France,23 Apr 2009,French National Championships,Montpellier, France,[40][41]
48,46.91,,César Cielo, Brazil,30 Jul 2009,World Championships,Rome, Italy,[42]