1,1:35.0,,Martha Gerstung, Germany,18 Oct 1908,–,Magdeburg, Germany,
2,1:26.6,,Claire Guttenstein, Belgium,2 Oct 1910,–,Schaerbeek, Belgium,
3,1:24.6,,Daisy Curwen, Great Britain,29 Sep 1911,–,Liverpool, United Kingdom,
4,1:20.6,,Daisy Curwen, Great Britain,10 Jun 1912,–,Birkenhead, United Kingdom,
5,1:19.8,,Fanny Durack, Australia,9 Jul 1912,Olympic Games,Stockholm, Sweden,[50]
6,1:18.8,,Fanny Durack, Australia,21 Jul 1912,–,Hamburg, Germany,
7,1:16.2,,Fanny Durack, Australia,6 Feb 1915,NSW Ladies' Amateur Championships,Sydney, Australia,[51]
8,1:14.4,sf,Ethelda Bleibtrey, United States,23 Aug 1920,Olympic Games,Antwerp, Belgium,[52]
9,1:13.6,,Ethelda Bleibtrey, United States,25 Aug 1920,Olympic Games,Antwerp, Belgium,[53]
10,1:12.8,,Gertrude Ederle, United States,30 Jun 1923,–,Newark, New Jersey, United States,[54]
11,1:12.2,h,Mariechen Wehselau, United States,19 Jul 1924,Olympic Games,Paris, France,
12,1:10.0,,Ethel Lackie, United States,28 Jan 1926,–,Toledo, OH, United States,[55]
13,1:09.8,,Eleanor Garatti, United States,7 Aug 1929,National AAU women's swimming meet,Honolulu, Hawaii,[56]
14,1:09.4,,Albina Osipowich, United States,25 Aug 1929,–,San Francisco, United States,
15,1:08.0,,Helene Madison, United States,14 Mar 1930,National AAU Women's Indoor Swimming and Diving Championships,Miami Beach, United States,[57]
16,1:06.6,,Helene Madison, United States,20 Apr 1931,–,Boston, United States,
17,1:06.0,,Willy den Ouden, Netherlands,9 Jul 1933,–,Antwerp, Belgium,
18,1:05.4,,Willy den Ouden, Netherlands,24 Feb 1934,–,Amsterdam, Netherlands,
19,1:04.8,,Willy den Ouden, Netherlands,15 Apr 1934,–,Rotterdam, Netherlands,
20,1:04.6,,Willy den Ouden, Netherlands,27 Feb 1936,–,Amsterdam, Netherlands,
21,1:04.5,,Dawn Fraser, Australia,21 Feb 1956,Australian Championships,Sydney, Australia,[58]
22,1:04.2,,Cocky Gastelaars, Netherlands,3 Mar 1956,–,Amsterdam, Netherlands,
23,1:04.0,,Cocky Gastelaars, Netherlands,14 Apr 1956,–,Schiedam, Netherlands,
24,1:03.3,,Dawn Fraser, Australia,25 Aug 1956,Australian Olympic Squad Swimming Carnival,Townsville, Australia,[59]
25,1:03.2,,Lorraine Crapp, Australia,20 Oct 1956,Australian Olympic Squad Swimming Carnival,Sydney, Australia,[60]
26,1:02.4,,Lorraine Crapp, Australia,25 Oct 1956,Australian Olympic Trials,Melbourne, Australia,[61]
27,1:02.0,,Dawn Fraser, Australia,1 Dec 1956,Olympic Games,Melbourne, Australia,[62]
28,1:01.5,yd,Dawn Fraser, Australia,18 Feb 1958,Australian Championships,Melbourne, Australia,[63]
29,1:01.4,yd,Dawn Fraser, Australia,21 Jul 1958,British Empire & Commonwealth Games,Cardiff, United Kingdom,[64]
30,1:01.2,,Dawn Fraser, Australia,10 Aug 1958,–,Schiedam, Netherlands,
31,1:00.2,yd,Dawn Fraser, Australia,23 Feb 1960,Australian Championships & Olympic Trials,Sydney, Australia,[65]
32,1:00.0,yd,Dawn Fraser, Australia,23 Oct 1962,Australian British Empire & Commonwealth Games Trials,Melbourne, Australia,[66]
33,59.9,yd,Dawn Fraser, Australia,27 Oct 1962,Australian British Empire & Commonwealth Games Trials,Melbourne, Australia,[67]
34,59.5,yd,Dawn Fraser, Australia,24 Nov 1962,British Empire & Commonwealth Games,Perth, Australia,[68]
35,58.9,,Dawn Fraser, Australia,29 Feb 1964,Australian Championships & Olympic Trials,Sydney, Australia,[69]
35=,58.9,,Shane Gould, Australia,30 Apr 1971,Coca Cola International,London, United Kingdom,[70]
36,58.5,,Shane Gould, Australia,8 Jan 1972,New South Wales State Championships,Sydney, Australia,[71]
37,58.25,,Kornelia Ender, East Germany,13 Jul 1973,GDR Nationals & World Championship Trials,East Berlin, East Germany,
38,58.12,,Kornelia Ender, East Germany,18 Aug 1973,–,Utrecht, Netherlands,
39,57.61,r,Kornelia Ender, East Germany,8 Sep 1973,World Championships,Belgrade, Socialist Federal Republic of Yugoslavia,
40,57.54,,Kornelia Ender, East Germany,9 Sep 1973,World Championships,Belgrade, Socialist Federal Republic of Yugoslavia,
41,57.51,,Kornelia Ender, East Germany,4 Jul 1974,GDR Nationals & European Championship Trials,Rostock, East Germany,
42,56.96,,Kornelia Ender, East Germany,19 Aug 1974,European Championships,Vienna, Austria,
43,56.38,,Kornelia Ender, East Germany,14 Mar 1975,GDRvURS Duel,Dresden, East Germany,
44,56.22,r,Kornelia Ender, East Germany,26 Jul 1975,World Championships,Cali, Colombia,
45,55.73,,Kornelia Ender, East Germany,1 Jun 1976,GDR Olympic Trials,East Berlin, East Germany,
46,55.65,,Kornelia Ender, East Germany,19 Jul 1976,Olympic Games,Montréal, Canada,
47,55.41,,Barbara Krause, East Germany,5 Jul 1978,GDR Nationals & World Championship Trials,East Berlin, East Germany,
48,54.98,h,Barbara Krause, East Germany,20 Jul 1980,Olympic Games,Moscow, Soviet Union,
49,54.79,,Barbara Krause, East Germany,21 Jul 1980,Olympic Games,Moscow, Soviet Union,
50,54.73,r,Kristin Otto, East Germany,19 Aug 1986,World Championships,Madrid, Spain,
51,54.48,h,Jenny Thompson, United States,1 Mar 1992,USA Olympic Trials,Indianapolis, United States,[72]
52,54.01,,Jingyi Le, China,5 Sep 1994,World Championships,Rome, Italy,[73]
53,53.80,,Inge de Bruijn, Netherlands,28 May 2000,Super Speedo Grand Prix,Sheffield, United Kingdom,[74]
54,53.77,sf,Inge de Bruijn, Netherlands,20 Sep 2000,Olympic Games,Sydney, Australia,[75]
55,53.66,sf,Libby Lenton, Australia,31 Mar 2004,Australian Championships & Olympic Trials,Sydney, Australia,[76]
56,53.52,sf,Jodie Henry, Australia,18 Aug 2004,Olympic Games,Athens, Greece,[77]
57,53.42,sf,Libby Lenton, Australia,31 Jan 2006,Australian Championships & Commonwealth Games Trials,Melbourne, Australia,[78]
58,53.30,,Britta Steffen, Germany,2 Aug 2006,European Championships,Budapest, Hungary,[79]
59,52.88,,Libby Trickett, Australia,27 Mar 2008,Australian Championships,Sydney, Australia,[80]
60,52.85,,Britta Steffen, Germany,25 Jun 2009,German Championships,Berlin, Germany,[81]
61,52.56,,Britta Steffen, Germany,27 Jun 2009,German Championships,Berlin, Germany,[82]
62,52.22,r,Britta Steffen, Germany,26 Jul 2009,World Championships,Rome, Italy,[83]
63,52.07,,Britta Steffen, Germany,31 Jul 2009,World Championships,Rome, Italy,[83]
64,52.06,,Cate Campbell, Australia,2 July 2016,Australia Grand Prix,Brisbane, Australia,[84]
65,51.71,r,Sarah Sjöström, Sweden,23 July 2017,World Championships,Budapest, Hungary,[85]